ANT1,20.25,2.86,0.00,2450AT18B100E_2450AT18B100E,2450AT18B100E_ANTC3216X140N
C1,12.73,0.31,270.00,12pF,NORDIC_NRF_3_RESC0201_L
C1-EP-DR,-5.17,5.84,0.00,10uF,NORDIC_NRF_3_RESC0402_L
C10,12.80,5.61,0.00,N.C.,NORDIC_NRF_3_RESC0201_L
C11,11.40,4.95,180.00,100pF,NORDIC_NRF_3_RESC0201_L
C12,10.00,4.96,0.00,100nF,NORDIC_NRF_3_RESC0201_L
C13,8.79,4.82,90.00,N.C.,NORDIC_NRF_3_RESC0201_L
C14,3.03,8.26,90.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C15,5.35,6.16,0.00,1.0µF,NORDIC_NRF_3_RESC0201_L
C16,7.49,5.81,90.00,47nF,NORDIC_NRF_3_RESC0201_L
C17,-2.54,3.21,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C18,-2.69,1.61,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C19,-6.86,2.98,90.00,100nF,NORDIC_NRF_3_RESC0402_L
C2,14.54,5.79,0.00,12pF,NORDIC_NRF_3_RESC0201_L
C2-EP-DR,-17.24,15.77,180.00,4.7uF/25V,NORDIC_NRF_3_RESC0402_L
C20,-2.40,-2.66,180.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C21,0.15,-3.26,180.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C22,13.59,0.24,90.00,N.C,NORDIC_NRF_3_RESC0201_L
C23,-16.75,-13.25,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C24,-17.61,-13.54,90.00,10uF,NORDIC_NRF_3_RESC0402_L
C25,-20.59,-11.31,270.00,22uF,NORDIC_NRF_3_RESC0402_L
C27,7.05,-11.59,90.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C29,11.95,-12.41,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C3,11.74,0.25,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C30,-9.05,-11.85,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C31,0.95,-12.41,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C32,-3.85,-7.43,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C33,-19.21,-7.54,180.00,22uF,NORDIC_NRF_3_RESC0402_L
C34,-4.47,-4.05,180.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C37,-1.25,-8.63,270.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C38,3.45,-6.99,90.00,1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C39,2.01,-8.71,270.00,10uF,NORDIC_NRF_3_RESC0402_L
C4,13.38,-1.85,270.00,1pF,NORDIC_NRF_3_RESC0201_L
C42,20.43,-12.15,0.00,0.1uF,GRM011R60J152KE01L_2_CAPC0201X13N
C43,16.56,-13.23,270.00,4.7uF,NORDIC_NRF_3_RESC0402_L
C5,1.65,7.76,180.00,100nF,NORDIC_NRF_3_RESC0201_L
C6,-2.35,-1.64,180.00,4.7µF,NORDIC_NRF_3_RESC0201_L
C7,9.86,-8.30,270.00,100nF,NORDIC_NRF_3_RESC0201_L
C8,14.56,-7.65,90.00,100nF,NORDIC_NRF_3_RESC0201_L
